id	species	size	synonyms	symbols	descriptions
1171411	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU13799; BSU13790	ykzR; ykvQ	spore-specific glycosyl hydrolase; sporulation-specific glycosylase
1171412	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU13840; BSU13830	stoA; ykvU	thiol-disulfide isomerase; spore membrane protein involved in germination
1171413	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU13880; BSU13870	glcT; ykvZ	transcriptional antiterminator BglG family; LacI family transcriptional regulator
1171414	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU13910; BSU13900	ptsI; ptsH	phosphotransferase system (PTS) enzyme I; phosphocarrier protein HPr
1171415	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU14050; BSU14040	ykuE; ykuD	metallophosphoesterase; murein transglycosylase
1171416	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU14072; BSU14071	ykzU; fadG	hypothetical protein; hypothetical protein
1171417	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU14170; BSU14160; BSU14150	ykuP; ykuO; ykuN	short-chain flavodoxin; hypothetical protein; flavodoxin
1171418	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU14190; BSU14180	dapL; dapH	N-acetyl-diaminopimelate deacetylase; tetrahydrodipicolinate N-acetyltransferase
1171419	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU14230; BSU14220	ykuV; ykuU	thiol-disulfide isomerase; 2-cys peroxiredoxin
1171420	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	6	BSU14310; BSU14300; BSU14290; BSU14280; BSU14270; BSU14260	moaD; moaE; mobB; moeA; moeB; mobA	molybdopterin synthase small subunit; molybdopterin synthase large subunit; molybdopterin-guanine dinucleotide biosynthesis protein B; molybdene to molybdopterin ligation enzyme; thiamine/molybdopterin biosynthesis MoeB-like protein; molybdopterin-guanine dinucleotide biosynthesis protein A
1171421	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU14330; BSU14320	yknV; yknU	ABC transporter ATP-binding protein; ABC transporter ATP-binding protein
1171422	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU14370; BSU14360; BSU14350; BSU14340	yknZ; yknY; yknX; yknW	permease; ABC transporter ATP-binding protein; efflux permease; permease
1171423	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU14400; BSU14390; BSU14380	fruA; fruK; fruR	phosphotransferase system (PTS) fructose-specific enzyme IIABC component; fructose-1-phosphate kinase; DeoR family transcriptional regulator
1171424	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU14500; BSU14490	ykqA; kinC	hypothetical protein; two-component sensor histidine kinase
1171425	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU14540; BSU14530	ykzG; rnjA	hypothetical protein; ribonuclease J1
1171426	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU14569; BSU14560	ykzV; def	hypothetical protein; peptide deformylase
1171427	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU14610; BSU14600; BSU14590; BSU14580	pdhD; pdhC; pdhB; pdhA	dihydrolipoamide dehydrogenase; branched-chain alpha-keto acid dehydrogenase subunit E2; pyruvate dehydrogenase (E1 beta subunit); pyruvate dehydrogenase (E1 alpha subunit)
1171428	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU14680; BSU14670	ykzC; suhB	hypothetical protein; inositol monophosphatase
1171429	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU14740; BSU14730; BSU14720; BSU14710	ylaD; ylaC; ylaB; ylaA	anti-YlaC sigma factor; RNA polymerase ECF-type sigma factor; hypothetical protein; hypothetical protein
1171430	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU14780; BSU14770	ylaH; bipA	hypothetical protein; GTPase
1171431	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU14860; BSU14850	pycA; ftsW	pyruvate carboxylase; cell-division protein
1171432	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	5	BSU14930; BSU14920; BSU14910; BSU14900; BSU14890	ctaG; ctaF; ctaE; ctaD; ctaC	cytochrome aa(3) assembly factor; cytochrome caa3 oxidase subunit IV; cytochrome caa3 oxidase subunit III; cytochrome caa3 oxidase subunit I; cytochrome caa3 oxidase subunit II
1171433	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU14980; BSU14970	ylbE; ylbD	hypothetical protein; hypothetical protein
1171434	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU15000; BSU14990	ylbG; ylbF	hypothetical protein; regulatory protein
1171435	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU15020; BSU15010	coaD; ylbH	phosphopantetheine adenylyltransferase; hypothetical protein
1171436	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU15050; BSU15040	ylbL; ylbK	degradative enzyme; hydrolase
1171437	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU15069; BSU15060	ylzH; ylbM	hypothetical protein; hypothetical protein
1171438	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU15080; BSU15070	rpmF; ylbN	50S ribosomal protein L32; hypothetical protein
1171439	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	5	BSU15170; BSU15160; BSU15150; BSU15140; BSU15130	spoVD; pbpB; ftsL; mraW; yllB	penicillin-binding protein; penicillin-binding protein 2B; cell-division protein; S-adenosyl-methyltransferase MraW; cell division protein MraZ
1171440	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	5	BSU15230; BSU15220; BSU15210; BSU15200; BSU15190	murB; murG; spoVE; murD; mraY	UDP-N-acetylenolpyruvoylglucosamine reductase; UDP diphospho-muramoyl pentapeptide beta-N acetylglucosaminyl transferase; factor for spore cortex peptidoglycan synthesis (stage V sporulation); UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase; phospho-N-acetylmuramoyl-pentapeptide-transferase
1171441	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU15270; BSU15260; BSU15250; BSU15240	sbp; ylxX; ylxW; divIB	integral inner membrane protein; hypothetical protein; hypothetical protein; cell-division initiation protein
1171442	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU15290; BSU15280	ftsZ; ftsA	cell division protein FtsZ; cell-division protein essential fo Z-ring assembly
1171443	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU15320; BSU15310	sigE; spoIIGA	sporulation sigma factor SigE; protease processing pro-sigma-E
1171444	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU15360; BSU15350	ylmC; ylmB	hypothetical protein; acetylornithine deacetylase
1171445	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	5	BSU15410; BSU15400; BSU15390; BSU15380; BSU15370	ylmH; ylmG; sepF; ylmE; ylmD	factor involved in shape determination, RNA-binding fold; factor involved in shape determination; cell division machinery factor; hypothetical protein; hypothetical protein
1171446	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU15460; BSU15450	rluD; lspA	pseudouridylate synthase; lipoprotein signal peptidase
1171447	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	8	BSU15560; BSU15550; BSU15540; BSU15530; BSU15520; BSU15510; BSU15500; BSU15490	pyrE; pyrF; pyrD; pyrK; carB; pyrAA; pyrC; pyrB	orotate phosphoribosyltransferase; orotidine 5'-phosphate decarboxylase; dihydroorotate dehydrogenase 1B; dihydroorotate dehydrogenase electron transfer subunit; carbamoyl phosphate synthase large subunit; carbamoyl phosphate synthase small subunit; dihydroorotase; aspartate carbamoyltransferase catalytic subunit
1171448	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	7	BSU15630; BSU15620; BSU15610; BSU15600; BSU15590; BSU15580; BSU15570	sirC; sirB; sumT; cysC; sat; cysP; cysH	Precorrin-2 dehydrogenase; sirohydrochlorin ferrochelatase; uroporphyrinogen III and precorrin-1 C-methyltransferase; adenylylsulfate kinase; sulfate adenylyltransferase; sulfate permease; (phospho)adenosine phosphosulfate reductase
1171449	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	5	BSU15690; BSU15680; BSU15670; BSU15660; BSU15650	rpoZ; gmk; ylzA; yloC; yloB	DNA-directed RNA polymerase subunit omega; guanylate kinase; hypothetical protein; hypothetical protein; P-type calcium transport ATPase
1171450	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	10	BSU15790; BSU15780; BSU15770; BSU15760; BSU15750; BSU15740; BSU15730; BSU15720; BSU15710; BSU15700	rpe; yloQ; prkC; prpC; yloN; rsmB; fmt; def; priA; coaBC	ribulose-phosphate 3-epimerase; ribosome-associated GTPase; protein kinase; phosphorylated protein phosphatase; ribosomal RNA large subunit methyltransferase N; RNA-binding Sun protein; methionyl-tRNA formyltransferase; peptide deformylase; primosome assembly protein PriA; Coenzyme A biosynthesis bifunctional phosphopantothenoylcysteine synthetase/decarboxylase
1171451	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU15840; BSU15830	yloV; yloU	dihydroxyacetone/glyceraldehyde kinase; hypothetical protein
1171452	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU15870; BSU15860; BSU15850	recG; sdaAA; sdaAB	ATP-dependent DNA helicase RecG; L-serine dehydratase alpha chain; L-serine dehydratase beta chain
1171453	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU15910; BSU15900; BSU15890; BSU15880	fabG; fabD; plsX; ylpC	beta-ketoacyl-acyl carrier protein reductase; malonyl CoA:acyl carrier protein transacylase; glycerol-3-phosphate acyltransferase PlsX; fatty acid biosynthesis transcriptional regulator
1171454	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU15950; BSU15940; BSU15930	ftsY; smc; rnc	signal recognition particle (docking protein); chromosome condensation and segregation SMC ATPase; ribonuclease III
1171455	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU15980; BSU15970	ffh; ylxM	signal recognition particle-like (SRP) GTPase; DNA-binding protein
1171456	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU16000; BSU15990	ylqC; rpsP	RNA binding protein; 30S ribosomal protein S16
1171457	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU16030; BSU16020; BSU16010	trmD; rimM; ylqD	tRNA (guanine-N(1)-)-methyltransferase; 16S rRNA-processing protein RimM; hypothetical protein
1171458	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU16080; BSU16070; BSU16060; BSU16050	ylqH; ylqG; rnhB; rbgA	flagellar biosynthesis protein; glycosyltransferase; ribonuclease HII; ribosomal biogenesis GTPase
1171459	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU16110; BSU16100; BSU16090	dprA; sucD; sucC	DNA processing Smf single strand binding protein; succinyl-CoA synthetase subunit alpha; succinyl-CoA synthetase subunit beta
1171460	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	6	BSU16170; BSU16160; BSU16150; BSU16140; BSU16130; BSU16120	codY; hslU; clpQ; xerC; gid; topA	transcriptional repressor CodY; ATP-dependent protease ATP-binding subunit HslU; ATP-dependent protease peptidase subunit; site-specific tyrosine recombinase XerC; tRNA (uracil-5-)-methyltransferase Gid; DNA topoisomerase I
1171461	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	5	BSU16220; BSU16210; BSU16200; BSU16190; BSU16180	fliG; fliF; fliE; flgC; flgB	flagellar motor switch protein G; flagellar MS-ring protein; flagellar hook-basal body protein FliE; flagellar basal body rod protein FlgC; flagellar basal body rod protein FlgB
1171462	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	27	BSU16480; BSU16470; BSU16460; BSU16450; BSU16440; BSU16430; BSU16420; BSU16410; BSU16400; BSU16390; BSU16380; BSU16370; BSU16360; BSU16350; BSU16340; BSU16330; BSU16320; BSU16310; BSU16300; BSU16299; BSU16290; BSU16280; BSU16270; BSU16260; BSU16250; BSU16240; BSU16230	ylxL; sigD; cheD; cheC; cheW; cheA; cheB; ylxH; flhF; flhA; flhB; fliR; fliQ; fliP; fliZ; cheY; fliY; fliM; fliL; ylzI; flgG; flgD; fliK; ylxF; fliJ; fliI; fliH	coupling factor for flagellin transcription and translation; RNA polymerase sigma factor SigD; sequence specific deamidase; signal terminating phosphatase; modulation of CheA activity in response to attractants (chemotaxis); chemotactic two-component sensor histidine kinase; chemotaxis-specific methylesterase; essential component of the flagellar assembly machinery; flagellar biosynthesis regulator FlhF; flagellar biosynthesis protein FlhA; flagellar biosynthesis protein FlhB; flagellar biosynthesis protein FliR; flagellar biosynthesis protein FliQ; flagellar biosynthesis protein FliP; flagella biosynthesis protein FliZ; regulator of chemotaxis and motility; flagellar motor switch protein; flagellar motor switch protein FliM; flagellar basal body-associated protein FliL; flagellar protein; flagellar basal body rod protein FlgG; flagellar basal body rod modification protein; flagellar hook-length control protein; kinesin-like protein; flagellar biosynthesis chaperone; flagellum-specific ATP synthase; flagellar
1171463	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU16520; BSU16510	frr; pyrH	ribosome recycling factor; uridylate kinase
1171464	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	5	BSU16570; BSU16560; BSU16550; BSU16540; BSU16530	proS; rseP; dxr; cdsA; uppS	prolyl-tRNA synthetase; inner membrane zinc metalloprotease; 1-deoxy-D-xylulose 5-phosphate reductoisomerase; phosphatidate cytidylyltransferase; undecaprenyl pyrophosphate synthase
1171465	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	9	BSU16670; BSU16660; BSU16650; BSU16640; BSU16630; BSU16620; BSU16610; BSU16600; BSU16590	ribC; truB; rbfA; ylxP; infB; ylxQ; ylxR; nusA; ylxS	bifunctional riboflavin kinase/FMN adenylyltransferase; tRNA pseudouridine synthase B; ribosome-binding factor A; hypothetical protein; translation initiation factor IF-2; hypothetical protein; RNA binding protein; new fold; transcription elongation factor NusA; hypothetical protein
1171466	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU16710; BSU16700	mlpA; ylxY	specific processing protease; sugar deacetylase
1171467	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU16740; BSU16730	spoVFB; spoVFA	dipicolinate synthase subunit B; dipicolinate synthase subunit A
1171468	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU16770; BSU16760; BSU16750	dapA; dapG; asd	dihydrodipicolinate synthase; aspartate kinase I; aspartate-semialdehyde dehydrogenase
1171469	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU16799; BSU16790	ylzJ; tepA	hypothetical protein; protein export-enhancing factor
1171470	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU16870; BSU16860; BSU16845	fabG; ymfH; ymfF	3-ketoacyl-ACP reductase; processing protease; metalloprotease
1171471	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU16930; BSU16920; BSU16910	cinA; pgsA; ymfM	competence damage-inducible protein A; CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase; hypothetical protein
1171472	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU16970; BSU16960	ymdB; ymdA	hypothetical protein; phosphodiesterase
1171473	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU17000; BSU16990	kbl; tdh	2-amino-3-ketobutyrate CoA ligase; L-threonine 3-dehydrogenase
1171474	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU17020; BSU17010	ymcA; ymcB	master regulator for biofilm formation; (dimethylallyl)adenosine tRNA methylthiotransferase
1171475	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU17050; BSU17040	mutL; mutS	DNA mismatch repair protein; DNA mismatch repair protein MutS
1171476	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU17120; BSU17110	pksE; pksD	polyketide synthesis protein; polyketide synthesis protein
1171477	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	10	BSU17220; BSU17210; BSU17200; BSU17190; BSU17180; BSU17170; BSU17160; BSU17150; BSU17140; BSU17130	pksR; pksN; pksM; pksL; pksJ; pksI; pksH; pksG; pksF; acpK	polyketide synthase; polyketide synthase of type I; polyketide synthase; polyketide synthase of type I; polyketide synthase of type I; polyketide biosynthesis enoyl-CoA hydratase; polyketide biosynthesis enoyl-CoA hydratase; acetyl-S-AcpK beta-ketothioester polyketide intermediate transferase; polyketide beta-ketoacyl:acyl carrier protein synthase; acyl carrier protein
1171478	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU17300; BSU17290	ebrA; ebrB	small multidrug resistance efflux transporter; small multidrug efflux transporter
1171479	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU17340; BSU17330	hfq; miaA	RNA-binding protein Hfq; tRNA delta(2)-isopentenylpyrophosphate transferase
1171480	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU17400; BSU17390; BSU17380; BSU17370	ymaB; nrdF; nrdE; nrdI	hypothetical protein; ribonucleotide-diphosphate reductase subunit beta; ribonucleotide-diphosphate reductase subunit alpha; ribonucleotide reductase stimulatory protein
1171481	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU17440; BSU17430	ynbB; ynbA	C-S lyase; GTP-binding protein protease modulator
1171482	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU17460; BSU17450	glnA; glnR	glutamine synthetase; nitrogen metabolism transcriptional regulator
1171483	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU17580; BSU17570	xynB; xynP	xylan beta-1,4-xylosidase; H+-xyloside symporter
1171484	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU17660; BSU17650	yncF; yncE	deoxyuridine 5'-triphosphate pyrophosphatase; prophage protein
1171485	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU17770; BSU17760; BSU17750	yndF; yndE; yndD	spore germination lipoprotein; spore germination integral inner membrane protein; spore germination protein
1171486	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU17810; BSU17800; BSU17790; BSU17780	yndK; yndJ; yndH; yndG	phage/plasmid replication protein; integral inner membrane protein; hypothetical protein; hypothetical protein
1171487	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU17870; BSU17860	yneB; yneA	cell division protein; cell division suppressor protein YneA
1171488	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU17990; BSU17980	sspO; sspP	acid-soluble spore protein O; acid-soluble spore protein P
1171489	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU18030; BSU18020	tlp; sspN	small acid-soluble spore protein Tlp; acid-soluble spore protein N
1171490	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU18050; BSU18040	yneQ; yneP	hypothetical protein; acyl-CoA thioesterase
1171491	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU18100; BSU18090	parC; parE	DNA topoisomerase IV subunit A; DNA topoisomerase IV subunit B
1171492	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU18190; BSU18180; BSU18170	yngC; yngB; yngA	integral inner membrane protein; UTP-sugar-phosphate uridylyltransferase; hypothetical protein
1171493	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	7	BSU18260; BSU18250; BSU18240; BSU18239; BSU18230; BSU18220; BSU18210	yngJ; yngI; yngH; yngHB; yngG; yngF; yngE	acyl-CoA dehydrogenase; AMP-binding domain protein; acetyl-CoA carboxylase biotin carboxylase subunit; acetyl-CoA carboxylase biotin carboxyl carrier protein subunit; hydroxymethylglutaryl-CoA lyase; enoyl-CoA hydratase; propionyl-CoA carboxylase
1171494	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	5	BSU18340; BSU18330; BSU18320; BSU18310; BSU18300	ppsA; ppsB; ppsC; ppsD; ppsE	plipastatin synthetase; plipastatin synthetase; plipastatin synthetase; plipastatin synthetase; plipastatin synthetase
1171495	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU18360; BSU18350	yoxA; dacC	epimerase; D-alanyl-D-alanine carboxypeptidase
1171496	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU18450; BSU18440	gltA; gltD	glutamate synthase large subunit; glutamate synthase subunit beta
1171497	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU18480; BSU18470	proH; proJ	pyrroline-5-carboxylate reductase; gamma-glutamyl kinase
1171498	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU18530; BSU18520	yoaA; yoxB	N-acetyltransferase; hypothetical protein
1171499	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU18560; BSU18550	yoaD; yoaC	2-hydroxyacid dehydrogenase; hydroxylated metabolite kinase
1171500	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU18740; BSU18730	yozG; yoaS	transcriptional regulator; hypothetical protein
1171501	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU18898; BSU18890	yozW; yobF	hypothetical protein; hypothetical protein
1171502	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU18920; BSU18910	phrK; rapK	secreted regulator of the activity of phosphatase RapK; response regulator aspartate phosphatase
1171503	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU18950; BSU18940; BSU18930	yozL; yozK; yobH	hypothetical protein; DNA repair protein fragment; DNA repair protein
1171504	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU19000; BSU18990	yobL; yobK	phage DNA manipulating enzyme; hypothetical protein
1171505	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU19060; BSU19050	yobR; yobQ	acetyltransferase; AraC/XylS family transcriptional regulator
1171506	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU19080; BSU19070	yobT; yobS	metal-dependent hydrolase; transcriptional regulator
1171507	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU19100; BSU19090	yobV; yobU	transcriptional regulator; effector of transcriptional regulator
1171508	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU19170; BSU19160	yocD; yocC	carboxypeptidase; hypothetical protein
1171509	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU19200; BSU19190	desR; desK	two-component response regulator DesK; two-component sensor histidine kinase DesR
1171510	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU19280; BSU19270	yocN; yozN	hypothetical protein; hypothetical protein
1171511	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU19330; BSU19320	sodF; sqhC	superoxide dismutase; squalene-hopene cyclase
1171512	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU19370; BSU19360	sucA; odhB	2-oxoglutarate dehydrogenase E1 component; dihydrolipoamide succinyltransferase
1171513	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU19390; BSU19380	yojN; yojO	nitric-oxide reductase; activator of nitric oxide reductase
1171514	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU19450; BSU19440	rsbRC; yojI	piezosome protein; multidrug efflux protein
1171515	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU19479; BSU19470; BSU19460	yoyC; yojF; yojG	hypothetical protein; hypothetical protein; deacetylase
1171516	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU19570; BSU19560	yodE; yodD	lyase/dioxygenase; hydrolase
1171517	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU19580; BSU19579	yodF; yoyD	Na+/metabolite permease; hypothetical protein
1171518	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU19630; BSU19620	deoD; yodJ	purine nucleoside phosphorylase; D-alanyl-D-alanine carboxypeptidase lipoprotein
1171519	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU19660; BSU19650; BSU19640	yozD; yodM; yodL	hypothetical protein; phospholipid phosphatase; hypothetical protein
1171520	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	7	BSU19740; BSU19730; BSU19720; BSU19710; BSU19700; BSU19690; BSU19689	yodT; yodS; yodR; yodQ; yodP; kamA; yokU	hypothetical protein; aminoacyloate CoA-transferase; acyloate-acetoacetate CoA-transferase; acetylornithine deacetylase; acetyltransferase; lysine 2,3-aminomutase; hypothetical protein
1171521	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU19760; BSU19750; BSU19749	cgeD; cgeE; yoyG	spore coat maturation protein; spore coat maturation protein; hypothetical protein
1171522	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU19790; BSU19780	cgeB; cgeA	spore coat maturation protein; spore outermost layer component
1171523	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU19830; BSU19820	yotM; yotN	hypothetical protein; hypothetical protein
1171524	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	5	BSU19910; BSU19900; BSU19890; BSU19880; BSU19870	yotE; yotF; yotG; yotH; yotI	hypothetical protein; hypothetical protein; hypothetical protein; hypothetical protein; hypothetical protein
1171525	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU19940; BSU19930; BSU19920	yotB; yotC; yotD	metallo-dependent hydrolase; phage SPbeta; hypothetical protein; hypothetical protein
1171526	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU19999; BSU19990	yojW; yosV	hypothetical protein; hypothetical protein
1171527	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU20050; BSU20040; BSU20030; BSU20020	yosQ; nrdF; yosR; yosS	SPbeta phage endodeoxyribonuclease; ribonucleotide-diphosphate reductase subunit beta; SPbeta phage thiol disulfide oxidoreductase; SPbeta phage deoxyuridine 5'-triphosphate nucleotidohydrolase
1171528	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU20080; BSU20070; BSU20060	yosL; nrdI; nrdEB	hypothetical protein; ribonucleotide reductase stimulatory protein; SPbeta phage ribonucleoside-diphosphate reductase, alpha subunit
1171529	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU20120; BSU20110; BSU20100; BSU20090	yosH; yosI; yosJ; yosK	hypothetical protein; hypothetical protein; hypothetical protein; hypothetical protein
1171530	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU20160; BSU20150; BSU20140; BSU20130	yosD; yosE; yosF; yosG	hypothetical protein; hypothetical protein; hypothetical protein; cell wall hydrolase; phage SPbeta
1171531	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU20180; BSU20170	yosB; yosC	hypothetical protein; hypothetical protein
1171532	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU20240; BSU20230; BSU20220; BSU20210	yorV; yorW; yorX; yorY	nucleic acid binding protein; phage SPbeta; hypothetical protein; hypothetical protein; hypothetical protein
1171533	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	7	BSU20320; BSU20310; BSU20300; BSU20290; BSU20280; BSU20270; BSU20260	yorN; yorO; yorP; yorQ; yorR; yorS; yorT	hypothetical protein; hypothetical protein; hypothetical protein; hypothetical protein; nucleotide kinase; phage SPbeta; hypothetical protein; hypothetical protein
1171534	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	7	BSU20390; BSU20380; BSU20370; BSU20360; BSU20350; BSU20340; BSU20330	yorG; yorH; yorI; yorJ; yorK; yorL; yorM	hypothetical protein; hypothetical protein; replicative DNA helicase; phage SPbeta; hypothetical protein; single-strand DNA-specific exonuclease; phage SPbeta; DNA polymerase; phage SPbeta; hypothetical protein
